1883,439,2358,439,2358,648,1883,648,2.17
1517,698,1814,698,1814,767,1517,767,Knowledge
1838,716,2185,716,2185,777,1838,777,Management
2206,733,2324,733,2324,793,2206,793,(KM)
1667,1362,1776,1362,1776,1434,1667,1434,Dr.
1820,1366,2045,1366,2045,1440,1820,1440,Faisal
2077,1369,2360,1369,2360,1446,2077,1446,Shafait
1303,1623,1627,1623,1627,1672,1303,1672,Multimedia
1652,1627,1886,1627,1886,1686,1652,1686,Analysis
1911,1629,2005,1629,2005,1674,1911,1674,and
2034,1629,2151,1629,2151,1675,2034,1675,Data
2179,1631,2357,1631,2357,1689,2179,1689,Mining
1029,402,1164,402,1164,568,1029,568,###
1129,406,1283,406,1283,573,1129,573,###
1205,418,1370,418,1370,584,1205,584,###
1310,423,1429,423,1429,587,1310,587,###
1051,1634,1123,1634,1123,1664,1051,1664,###
