1558,0,1985,0,1985,403,1558,403,###
617,0,1563,0,1563,1237,617,1237,###
595,1543,902,1543,902,1697,595,1697,we
986,1549,1807,1549,1807,1761,986,1761,process
1859,1561,2342,1561,2342,1768,1859,1768,your
2408,1569,3164,1569,3164,1775,2408,1775,process
403,1927,826,1927,826,2204,403,2204,Dez.
944,1932,1504,1932,1504,2199,944,2199,2010
1939,1933,2592,1933,2592,2200,1939,2200,Januar
3126,1925,3805,1925,3805,2194,3126,2194,Februar
3068,2348,3138,2348,3138,2541,3068,2541,1
1803,2360,1859,2360,1859,2562,1803,2562,1
1964,2480,2036,2480,2036,2564,1964,2564,Sa
2151,2468,2379,2468,2379,2575,2151,2575,Neujahr
420,2374,471,2374,471,2585,420,2585,1
577,2504,653,2504,653,2587,577,2587,Mi
3230,2464,3285,2464,3285,2541,3230,2541,Di
