1200,777,2143,777,2143,914,1200,914,RESERVED
2205,755,2561,755,2561,895,2205,895,FOR
1172,977,2033,977,2033,1105,1172,1105,REGULAR
2094,950,2602,950,2602,1095,2094,1095,HIWIS
1428,1369,1961,1369,1961,1502,1428,1502,Thank
2012,1353,2367,1353,2367,1530,2012,1530,you!
528,169,741,169,741,415,528,415,###
83,85,257,85,257,117,83,117,###
85,111,223,111,223,139,85,139,###
86,137,255,137,255,171,86,171,###
88,161,221,161,221,190,88,190,###
140,486,299,486,299,515,140,515,###
170,516,299,516,299,543,170,543,###
172,548,297,548,297,575,172,575,###
454,169,520,169,520,192,454,192,###
472,206,484,206,484,230,472,230,###
560,1879,606,1879,606,1910,560,1910,###
814,1877,877,1877,877,1904,814,1904,###
1065,1870,1104,1870,1104,1900,1065,1900,###
1316,1865,1355,1865,1355,1897,1316,1897,###
1575,1864,1600,1864,1600,1887,1575,1887,###
1822,1861,1854,1861,1854,1890,1822,1890,###
2074,1855,2111,1855,2111,1889,2074,1889,###
2321,1853,2328,1853,2328,1882,2321,1882,###
2574,1847,2619,1847,2619,1881,2574,1881,###
581,2000,618,2000,618,2023,581,2023,###
848,1989,883,1989,883,2026,848,2026,###
1105,1988,1152,1988,1152,2020,1105,2020,###
1370,1984,1399,1984,1399,2013,1370,2013,###
1639,1979,1678,1979,1678,2012,1639,2012,###
1891,1974,1932,1974,1932,2008,1891,2008,###
2156,1979,2184,1979,2184,2007,2156,2007,###
2410,1967,2445,1967,2445,2000,2410,2000,###
2672,1966,2707,1966,2707,1997,2672,1997,###
3191,1964,3232,1964,3232,1993,3191,1993,###
673,2122,716,2122,716,2160,673,2160,###
956,2117,991,2117,991,2150,956,2150,###
1217,2107,1268,2107,1268,2153,1217,2153,###
1497,2109,1542,2109,1542,2142,1497,2142,###
1769,2104,1804,2104,1804,2137,1769,2137,###
2042,2100,2077,2100,2077,2136,2042,2136,###
2311,2095,2354,2095,2354,2127,2311,2127,###
20,70,70,70,70,92,20,92,###
23,101,72,101,72,128,23,128,###
26,127,79,127,79,154,26,154,###
29,164,75,164,75,190,29,190,###
30,188,65,188,65,213,30,213,###
33,211,64,211,64,237,33,237,###
36,234,63,234,63,261,36,261,###
42,301,55,301,55,319,42,319,###
45,324,69,324,69,351,45,351,###
48,362,94,362,94,390,48,390,###
53,432,104,432,104,463,53,463,###
91,189,180,189,180,213,91,213,###
89,216,204,216,204,241,89,241,###
91,242,276,242,276,270,91,270,###
92,261,277,261,277,295,92,295,###
94,288,224,288,224,318,94,318,###
208,359,249,359,249,367,208,367,###
117,404,164,404,164,424,117,424,###
196,409,272,409,272,432,196,432,###
399,131,427,131,427,163,399,163,###
421,98,469,98,469,130,421,130,###
473,96,482,96,482,107,473,107,###
484,91,511,91,511,109,484,109,###
513,101,533,101,533,118,513,118,###
532,114,567,114,567,158,532,158,###
533,139,557,139,557,228,533,228,###
518,229,539,229,539,250,518,250,###
494,243,513,243,513,257,494,257,###
418,197,489,197,489,260,418,260,###
414,165,429,165,429,192,414,192,###
422,147,438,147,438,162,422,162,###
454,146,516,146,516,161,454,161,###
488,207,505,207,505,229,488,229,###
