370,548,829,548,829,781,370,781,ESP
1261,512,1580,512,1580,759,1261,759,###
195,963,381,963,381,1006,195,1006,Experience
393,965,447,965,447,1000,393,1000,the
458,965,648,965,648,1002,458,1002,Revolution
662,965,743,965,743,1002,662,1002,with
757,964,893,964,893,1010,757,1010,Orange
911,977,935,977,935,1000,911,1000,To
944,976,1007,976,1007,1000,944,1000,order
1014,982,1067,982,1067,1004,1014,1004,your
1074,976,1126,976,1126,998,1074,998,v70e
1136,981,1164,981,1164,998,1136,998,on
1174,974,1261,974,1261,1004,1174,1004,Orange
1275,974,1357,974,1357,1004,1275,1004,please
1367,974,1410,974,1410,998,1367,998,call
1422,973,1459,973,1459,996,1422,996,150
1467,971,1511,971,1511,995,1467,995,and
1519,974,1585,974,1585,999,1519,999,press
816,587,1063,587,1063,771,816,771,###
1080,528,1258,528,1258,765,1080,765,###
1260,993,1268,993,1268,1002,1260,1002,###
1590,964,1599,964,1599,991,1590,991,###
54,974,149,974,149,1000,54,1000,orange
145,969,156,969,156,975,145,975,###
