602,292,610,292,610,302,602,302,###
27,467,128,467,128,479,27,479,FOSTER'S
279,468,380,468,380,479,279,479,FOSTER'S
524,461,621,461,621,478,524,478,FOSTER'S
398,467,420,467,420,479,398,479,###
485,464,506,464,506,479,485,479,###
602,425,611,425,611,447,602,447,###
633,422,639,422,639,450,633,450,###
329,420,344,420,344,449,329,449,###
369,420,383,420,383,449,369,449,###
574,401,593,401,593,414,574,414,###
453,401,470,401,470,413,453,413,###
621,401,639,401,639,407,621,407,###
239,466,261,466,261,479,239,479,###
146,466,167,466,167,479,146,479,###
272,120,415,120,415,256,272,256,O
321,157,363,157,363,215,321,215,F
82,284,577,284,577,368,82,368,FOSTER'S
8,419,32,419,32,447,8,447,###
49,420,73,420,73,448,49,448,###
89,420,113,420,113,449,89,449,###
125,420,152,420,152,450,125,450,###
169,420,194,420,194,450,169,450,###
221,420,245,420,245,449,221,449,###
263,420,283,420,283,449,263,449,###
297,420,323,420,323,450,297,450,###
409,420,435,420,435,449,409,449,###
489,419,512,419,512,449,489,449,###
532,418,557,418,557,447,532,447,###
0,465,8,465,8,479,0,479,###
