916,472,1445,472,1445,705,916,705,iMac
2427,2097,2539,2097,2539,2146,2427,2146,###
1918,2128,2053,2128,2053,2168,1918,2168,###
1386,2143,1494,2143,1494,2194,1386,2194,###
448,2187,576,2187,576,2247,448,2247,###
1507,2444,1606,2444,1606,2531,1507,2531,###
1472,2342,1561,2342,1561,2430,1472,2430,###
2010,2327,2055,2327,2055,2367,2010,2367,###
2050,2419,2090,2419,2090,2457,2050,2457,###
2626,2398,2826,2398,2826,2438,2626,2438,###
3581,2039,3726,2039,3726,2086,3581,2086,###
2898,2075,3019,2075,3019,2128,2898,2128,###
