187,317,288,317,288,371,187,371,NO
307,321,559,321,559,379,307,379,ENTRY
180,404,396,404,396,464,180,464,WHEN
416,414,569,414,569,471,416,471,RED
218,492,442,492,442,554,218,554,LIGHT
462,506,529,506,529,560,462,560,IS
195,574,557,574,557,648,195,648,FLASHING
663,146,759,146,759,152,663,152,###
640,157,774,157,774,260,640,260,###
964,141,1087,141,1087,148,964,148,###
978,153,1066,153,1066,158,978,158,###
628,0,801,0,801,83,628,83,###
930,0,1125,0,1125,89,930,89,###
927,167,1107,167,1107,259,927,259,###
1257,136,1279,136,1279,266,1257,266,###
1245,432,1279,432,1279,519,1245,519,###
